token_id,extracted_attributes
3325,"{""Fur"": ""Sky Blue"", ""Clothes"": ""Green Kimono"", ""Mouth"": ""Referee"", ""Eyes"": ""Angry"", ""Head Accessory"": ""Red Shades""}"
8135,"{""Fur"": ""Black"", ""Clothes"": ""Dego Tee Blooded"", ""Mouth"": ""Scream"", ""Eyes"": ""Wide"", ""Head"": ""RKL Cap Forward""}"
1110,"{""Fur"": ""White Noise"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Ooh"", ""Eyes"": ""Angry Wink"", ""Head Accessory"": ""3D Glasses"", ""Head"": ""Blonde Bun""}"
1966,"{""Fur"": ""Brown"", ""Clothes"": ""Fusion Gi"", ""Mouth"": ""Drool"", ""Eyes"": ""Wide"", ""Head"": ""Cap Forward""}"
2499,"{""Fur"": ""Black"", ""Clothes"": ""RKL Tee"", ""Mouth"": ""Scream"", ""Eyes"": ""Sad"", ""Head"": ""Horse Jockey Hat""}"
7920,"{""Fur"": ""Sky Blue"", ""Mouth"": ""Gold Scream"", ""Eyes"": ""Closed"", ""Head"": ""Blonde Bun""}"
742,"{""Fur"": ""Red"", ""Mouth"": ""Saber Toothed"", ""Eyes"": ""Angry Wink"", ""Head Accessory"": ""Red Shades""}"
7651,"{""Fur"": ""Green"", ""Clothes"": ""White Tee"", ""Mouth"": ""Regular"", ""Eyes"": ""Wide"", ""Head"": ""Bowler""}"
8850,"{""Fur"": ""Black"", ""Clothes"": ""Navy Suit"", ""Mouth"": ""Tongue Out"", ""Eyes"": ""Wide Scar"", ""Head"": ""Tophat""}"
210,"{""Fur"": ""Grey"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Scream"", ""Eyes"": ""Wide Scar"", ""Head"": ""RKL Cap Sideways""}"
4630,"{""Fur"": ""Green"", ""Clothes"": ""White Tee"", ""Mouth"": ""Full Beard"", ""Eyes"": ""Wide""}"
9897,"{""Fur"": ""Black"", ""Mouth"": ""Regular"", ""Eyes"": ""Wide"", ""Head"": ""Beanie""}"
5465,"{""Fur"": ""Crystal"", ""Clothes"": ""Robo Arm"", ""Eyes"": ""Angry"", ""Mouth"": ""Scream"", ""Jewellery"": ""Silver Chain""}"
4999,"{""Fur"": ""Brown"", ""Mouth"": ""Gold Scream"", ""Eyes"": ""Angry Wink"", ""Head"": ""RKL Cap Sideways""}"
2473,"{""Fur"": ""Sky Blue"", ""Clothes"": ""White Tee"", ""Mouth"": ""Saber Toothed"", ""Eyes"": ""Angry""}"
